,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00
Gain On Sale Of Security,7203,825727000000.0,314746000000.0,233824000000.0,311020000000.0,,,,,
Net Non Operating Interest Income Expense,7203,245554000000.0,516350000000.0,144928000000.0,195931000000.0,,,,,
Total Other Finance Cost,7203,34968000000.0,-126395000000.0,41818000000.0,-126877000000.0,,,,,
Interest Expense Non Operating,7203,84106000000.0,64733000000.0,47356000000.0,32458000000.0,,,,,
Interest Income Non Operating,7203,364628000000.0,454688000000.0,234102000000.0,101512000000.0,,,,,
Operating Income,7203,4795586000000.0,5352935000000.0,2725026000000.0,2995696000000.0,,,,,
Operating Expense,7203,4782452000000.0,4015383000000.0,3587990000000.0,2975977000000.0,,,,,
Selling General And Administration,7203,4782452000000.0,4015383000000.0,3587990000000.0,2975977000000.0,,,,,
Gross Profit,7203,9578038000000.0,9368318000000.0,6313016000000.0,5971673000000.0,,,,,
Cost Of Revenue,7203,38458666000000.0,35727007000000.0,30841282000000.0,25407834000000.0,,,,,
Total Revenue,7203,48036704000000.0,45095325000000.0,37154298000000.0,31379507000000.0,,,,,
Operating Revenue,7203,48036704000000.0,45095325000000.0,37154298000000.0,31379507000000.0,,,,,
Tax Effect Of Unusual Items,6758,16947771000.0,21991079000.0,-2243134000.0,266500000.0,,,,,
Tax Rate For Calcs,6758,0.213,0.227,0.206,0.205,,,,,
Normalized EBITDA,6758,2588022000000.0,2357762000000.0,2316373000000.0,1966036000000.0,,,,,
Total Unusual Items,6758,79567000000.0,96877000000.0,-10889000000.0,1300000000.0,,,,,
Total Unusual Items Excluding Goodwill,6758,79567000000.0,96877000000.0,-10889000000.0,1300000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,6758,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,,,,,
Reconciled Depreciation,6758,1152987000000.0,1144981000000.0,1004590000000.0,835233000000.0,,,,,
Reconciled Cost Of Revenue,6758,9294512000000.0,9695687000000.0,7739284000000.0,7219841000000.0,,,,,
EBITDA,6758,2667589000000.0,2454639000000.0,2305484000000.0,1967336000000.0,,,,,
EBIT,6758,1514602000000.0,1309658000000.0,1300894000000.0,1132103000000.0,,,,,
Net Interest Income,6758,-10680000000.0,-5703000000.0,-12269000000.0,-19839000000.0,,,,,
Interest Expense,6758,40876000000.0,40996000000.0,26398000000.0,14600000000.0,,,,,
Interest Income,6758,50925000000.0,37580000000.0,22399000000.0,6996000000.0,,,,,
Normalized Income,6758,1078980771000.0,895687079000.0,1013922866000.0,881144500000.0,,,,,
Net Income From Continuing And Discontinued Operation,6758,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,,,,,
Total Expenses,6758,11544424000000.0,11853782000000.0,9701168000000.0,8809117000000.0,,,,,
Total Operating Income As Reported,6758,1407163000000.0,1208831000000.0,1302389000000.0,1202339000000.0,,,,,
Diluted Average Shares,6758,6075064000.0,6176655000.0,6206885000.0,6256300000.0,,,,,
Basic Average Shares,6758,6049652000.0,6156210000.0,6178505000.0,6196495000.0,,,,,
Diluted EPS,6758,187.92,157.136,150.99,141.032,,,,,
Basic EPS,6758,188.71,157.658,151.676,142.368,,,,,
Diluted NI Availto Com Stockholders,6758,1141600000000.0,970573000000.0,1005328000000.0,882341000000.0,,,,,
Average Dilution Earnings,6758,0.0,0.0,51000000.0,163000000.0,,,,,
Net Income Common Stockholders,6758,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,,,,,
Net Income,6758,1141600000000.0,970573000000.0,1005277000000.0,882178000000.0,,,,,
Minority Interests,6758,-18287000000.0,-9921000000.0,-6496000000.0,-6228000000.0,,,,,
Net Income Including Noncontrolling Interests,6758,1159887000000.0,980494000000.0,1011773000000.0,888406000000.0,,,,,
Net Income Continuous Operations,6758,1159887000000.0,980494000000.0,1011773000000.0,888406000000.0,,,,,
Tax Provision,6758,313839000000.0,288168000000.0,262723000000.0,229097000000.0,,,,,
Pretax Income,6758,1473726000000.0,1268662000000.0,1274496000000.0,1117503000000.0,,,,,
Other Income Expense,6758,71766000000.0,107379000000.0,13560000000.0,24946000000.0,,,,,
Other Non Operating Income Expenses,6758,,,,69217000000.0,-8737000000.0,,,,
Special Income Charges,6758,2324000000.0,31343000000.0,4735000000.0,66297000000.0,,,,,
Gain On Sale Of Ppe,6758,-16102000000.0,4675000000.0,417000000.0,-8316000000.0,,,,,
Gain On Sale Of Business,6758,18426000000.0,26668000000.0,4318000000.0,74613000000.0,,,,,
Restructuring And Mergern Acquisition,6758,,,,,0.0,,,,
Earnings From Equity Interest,6758,-7801000000.0,10502000000.0,24449000000.0,23646000000.0,,,,,
Gain On Sale Of Security,6758,77243000000.0,65534000000.0,-15624000000.0,-64997000000.0,,,,,
Net Non Operating Interest Income Expense,6758,-10680000000.0,-5703000000.0,-12269000000.0,-19839000000.0,,,,,
Total Other Finance Cost,6758,20729000000.0,2287000000.0,8270000000.0,12235000000.0,,,,,
Interest Expense Non Operating,6758,40876000000.0,40996000000.0,26398000000.0,14600000000.0,,,,,
Interest Income Non Operating,6758,50925000000.0,37580000000.0,22399000000.0,6996000000.0,,,,,
Operating Income,6758,1412640000000.0,1166986000000.0,1273205000000.0,1112396000000.0,,,,,
Operating Expense,6758,2249912000000.0,2158095000000.0,1961884000000.0,1589276000000.0,,,,,
Other Operating Expenses,6758,-6917000000.0,1939000000.0,-7286000000.0,803000000.0,,,,,
Selling General And Administration,6758,2256829000000.0,2156156000000.0,1969170000000.0,1588473000000.0,,,,,
Gross Profit,6758,3662552000000.0,3325081000000.0,3235089000000.0,2701672000000.0,,,,,
Cost Of Revenue,6758,9294512000000.0,9695687000000.0,7739284000000.0,7219841000000.0,,,,,
Total Revenue,6758,12957064000000.0,13020768000000.0,10974373000000.0,9921513000000.0,,,,,
Operating Revenue,6758,12957064000000.0,13020768000000.0,10974373000000.0,9921513000000.0,,,,,
Tax Effect Of Unusual Items,9984,106042560000.0,203229912000.0,-164142088000.0,-530526464000.0,,,,,
Tax Rate For Calcs,9984,0.06,0.232,0.232,0.232,,,,,
Normalized EBITDA,9984,1385727000000.0,596434000000.0,1687772000000.0,2652126000000.0,,,,,
Total Unusual Items,9984,1767376000000.0,875991000000.0,-707509000000.0,-2286752000000.0,,,,,
Total Unusual Items Excluding Goodwill,9984,1767376000000.0,875991000000.0,-707509000000.0,-2286752000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9984,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,,,,,
Reconciled Depreciation,9984,866823000000.0,858620000000.0,893488000000.0,852424000000.0,,,,,
Reconciled Cost Of Revenue,9984,3489549000000.0,3214108000000.0,3242397000000.0,2955960000000.0,,,,,
EBITDA,9984,3153103000000.0,1472425000000.0,980263000000.0,365374000000.0,,,,,
EBIT,9984,2286280000000.0,613805000000.0,86775000000.0,-487050000000.0,,,,,
Net Interest Income,9984,-581559000000.0,-556004000000.0,-555902000000.0,-382512000000.0,,,,,
Interest Expense,9984,581559000000.0,556004000000.0,555902000000.0,382512000000.0,,,,,
Normalized Income,9984,-508001440000.0,-900407088000.0,-426777088000.0,48196536000.0,,,,,
Net Income From Continuing And Discontinued Operation,9984,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,,,,,
Total Expenses,9984,6513958000000.0,6196491000000.0,5937725000000.0,5507682000000.0,,,,,
Diluted Average Shares,9984,5816092000.0,5859828000.0,6169895548.0,6835956000.0,,,,,
Basic Average Shares,9984,5811928000.0,5859828000.0,6169895548.0,6835956000.0,,,,,
Diluted EPS,9984,194.85,-43.55,-165.6025,-256.4175,,,,,
Basic EPS,9984,195.205,-42.7475,-163.0925,-254.645,,,,,
Diluted NI Availto Com Stockholders,9984,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,,,,,
Net Income Common Stockholders,9984,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,,,,,
Otherunder Preferred Stock Dividend,9984,0.0,0.0,0.0,0.0,,,,,
Net Income,9984,1153332000000.0,-227646000000.0,-970144000000.0,-1708029000000.0,,,,,
Minority Interests,9984,-449776000000.0,-436863000000.0,-180343000000.0,-245830000000.0,,,,,
Net Income Including Noncontrolling Interests,9984,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,,,,,
Net Income Discontinuous Operations,9984,,,,0.0,710948000000.0,,,,
Net Income Continuous Operations,9984,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,,,,,
Tax Provision,9984,101613000000.0,-151416000000.0,320674000000.0,592637000000.0,,,,,
Pretax Income,9984,1704721000000.0,57801000000.0,-469127000000.0,-869562000000.0,,,,,
Other Non Operating Income Expenses,9984,354251000000.0,204079000000.0,-24138000000.0,393299000000.0,,,,,
Net Non Operating Interest Income Expense,9984,-581559000000.0,-556004000000.0,-555902000000.0,-382512000000.0,,,,,
Interest Expense Non Operating,9984,581559000000.0,556004000000.0,555902000000.0,382512000000.0,,,,,
Operating Income,9984,729794000000.0,560009000000.0,632714000000.0,713852000000.0,,,,,
Operating Expense,9984,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,,,,,
Selling General And Administration,9984,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,,,,,
General And Administrative Expense,9984,3024409000000.0,2982383000000.0,2695328000000.0,2551722000000.0,,,,,
Gross Profit,9984,3754203000000.0,3542392000000.0,3328042000000.0,3265574000000.0,,,,,
Cost Of Revenue,9984,3489549000000.0,3214108000000.0,3242397000000.0,2955960000000.0,,,,,
Total Revenue,9984,7243752000000.0,6756500000000.0,6570439000000.0,6221534000000.0,,,,,
Operating Revenue,9984,7243752000000.0,6756500000000.0,6570439000000.0,6221534000000.0,,,,,
Tax Effect Of Unusual Items,9434,-487050000.0,-6733768000.0,-10944934000.0,-9673258000.0,,,,,
Tax Rate For Calcs,9434,0.255,0.268,0.242,0.329,,,,,
Normalized EBITDA,9434,1747333000000.0,1636261000000.0,1789517000000.0,1699165000000.0,,,,,
Total Unusual Items,9434,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0,,,,,
Total Unusual Items Excluding Goodwill,9434,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,9434,526133000000.0,489074000000.0,531366000000.0,517075000000.0,,,,,
Reconciled Depreciation,9434,748014000000.0,743808000000.0,764210000000.0,745310000000.0,,,,,
Reconciled Cost Of Revenue,9434,3384115000000.0,3150653000000.0,3194085000000.0,2889116000000.0,,,,,
EBITDA,9434,1745423000000.0,1611135000000.0,1744290000000.0,1669763000000.0,,,,,
EBIT,9434,997409000000.0,867327000000.0,980080000000.0,924453000000.0,,,,,
Net Interest Income,9434,-105676000000.0,-48494000000.0,-105307000000.0,-26971000000.0,,,,,
Interest Expense,9434,117352000000.0,61415000000.0,117212000000.0,66442000000.0,,,,,
Interest Income,9434,11676000000.0,12921000000.0,11905000000.0,39471000000.0,,,,,
Normalized Income,9434,527555950000.0,507466232000.0,565648066000.0,536803742000.0,,,,,
Net Income From Continuing And Discontinued Operation,9434,526133000000.0,489074000000.0,531366000000.0,517075000000.0,,,,,
Total Expenses,9434,5555333000000.0,5207934000000.0,4851831000000.0,4725053000000.0,,,,,
Total Operating Income As Reported,9434,989016000000.0,876068000000.0,1060168000000.0,965553000000.0,,,,,
Diluted Average Shares,9434,48536254613.0,48346579676.0,47633510000.0,47797652061.0,,,,,
Basic Average Shares,9434,47873794359.0,47404671901.0,47219669210.0,47492850000.0,,,,,
Diluted EPS,9434,10.84,10.116,11.1,10.818,,,,,
Basic EPS,9434,10.99,10.317,11.253,11.004,,,,,
Diluted NI Availto Com Stockholders,9434,526133000000.0,489074000000.0,531366000000.0,517075000000.0,,,,,
Net Income Common Stockholders,9434,526133000000.0,489074000000.0,531366000000.0,517075000000.0,,,,,
Otherunder Preferred Stock Dividend,9434,0.0,0.0,0.0,0.0,,,,,
Net Income,9434,526133000000.0,489074000000.0,531366000000.0,517075000000.0,,,,,
Minority Interests,9434,-129153000000.0,-101191000000.0,-122759000000.0,-58358000000.0,,,,,
Net Income Including Noncontrolling Interests,9434,655286000000.0,590265000000.0,654125000000.0,575433000000.0,,,,,
Net Income Continuous Operations,9434,655286000000.0,590265000000.0,654125000000.0,575433000000.0,,,,,
Tax Provision,9434,224771000000.0,215647000000.0,208743000000.0,282578000000.0,,,,,
Pretax Income,9434,880057000000.0,805912000000.0,862868000000.0,858011000000.0,,,,,
Special Income Charges,9434,-1910000000.0,-25126000000.0,-45227000000.0,-29402000000.0,,,,,
Write Off,9434,1910000000.0,25126000000.0,45227000000.0,29402000000.0,,,,,
Net Non Operating Interest Income Expense,9434,-105676000000.0,-48494000000.0,-105307000000.0,-26971000000.0,,,,,
Interest Expense Non Operating,9434,117352000000.0,61415000000.0,117212000000.0,66442000000.0,,,,,
Interest Income Non Operating,9434,11676000000.0,12921000000.0,11905000000.0,39471000000.0,,,,,
Operating Income,9434,989016000000.0,876068000000.0,1060168000000.0,965553000000.0,,,,,
Operating Expense,9434,2171218000000.0,2057281000000.0,1657746000000.0,1835937000000.0,,,,,
Other Operating Expenses,9434,13822000000.0,5688000000.0,14588000000.0,2448000000.0,,,,,
Selling General And Administration,9434,2200591000000.0,2081765000000.0,1964580000000.0,1858709000000.0,,,,,
General And Administrative Expense,9434,2200591000000.0,2081765000000.0,1964580000000.0,1858709000000.0,,,,,
Gross Profit,9434,3160234000000.0,2933349000000.0,2717914000000.0,2801490000000.0,,,,,
Cost Of Revenue,9434,3384115000000.0,3150653000000.0,3194085000000.0,2889116000000.0,,,,,
Total Revenue,9434,6544349000000.0,6084002000000.0,5911999000000.0,5690606000000.0,,,,,
Operating Revenue,9434,6544349000000.0,6084002000000.0,5911999000000.0,5690606000000.0,,,,,
Tax Effect Of Unusual Items,6861,0.0,0.0,0.0,0.0,,,,,
Tax Rate For Calcs,6861,0.289,0.288,0.292233,0.29654,,,,,
Normalized EBITDA,6861,564968000000.0,508781000000.0,510438000000.0,426666000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Reconciled Depreciation,6861,15193000000.0,13767000000.0,11523000000.0,8621000000.0,,,,,
Reconciled Cost Of Revenue,6861,171444000000.0,164782000000.0,167690000000.0,133984000000.0,,,,,
EBITDA,6861,564968000000.0,508781000000.0,510438000000.0,426666000000.0,,,,,
EBIT,6861,549775000000.0,495014000000.0,498915000000.0,418045000000.0,,,,,
Net Interest Income,6861,8968000000.0,5358000000.0,2033000000.0,561000000.0,,,,,
Interest Income,6861,8968000000.0,5358000000.0,2033000000.0,561000000.0,,,,,
Normalized Income,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Net Income From Continuing And Discontinued Operation,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Total Expenses,6861,509369000000.0,472273000000.0,423507000000.0,337129000000.0,,,,,
Total Operating Income As Reported,6861,549775000000.0,495014000000.0,498914000000.0,418045000000.0,,,,,
Diluted Average Shares,6861,242525414.0,242524965.0,242526077.0,242526325.0,,,,,
Basic Average Shares,6861,242525414.0,242524965.0,242526077.0,242526325.0,,,,,
Diluted EPS,6861,1643.77,1524.14,1496.6,1250.83,,,,,
Basic EPS,6861,1643.77,1524.14,1496.6,1250.83,,,,,
Diluted NI Availto Com Stockholders,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Net Income Common Stockholders,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Otherunder Preferred Stock Dividend,6861,0.0,0.0,0.0,0.0,,,,,
Net Income,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Net Income Including Noncontrolling Interests,6861,398656000000.0,369642000000.0,362963000000.0,303360000000.0,,,,,
Net Income Continuous Operations,6861,398657000000.0,369642000000.0,362964000000.0,303360000000.0,,,,,
Tax Provision,6861,162353000000.0,149653000000.0,149866000000.0,127880000000.0,,,,,
Pretax Income,6861,561010000000.0,519295000000.0,512830000000.0,431240000000.0,,,,,
Other Non Operating Income Expenses,6861,1178000000.0,717000000.0,994000000.0,956000000.0,,,,,
Net Non Operating Interest Income Expense,6861,8968000000.0,5358000000.0,2033000000.0,561000000.0,,,,,
Interest Income Non Operating,6861,8968000000.0,5358000000.0,2033000000.0,561000000.0,,,,,
Operating Income,6861,549775000000.0,495014000000.0,498915000000.0,418045000000.0,,,,,
Operating Expense,6861,337925000000.0,307491000000.0,255817000000.0,203145000000.0,,,,,
Gross Profit,6861,887700000000.0,802505000000.0,754732000000.0,621190000000.0,,,,,
Cost Of Revenue,6861,171444000000.0,164782000000.0,167690000000.0,133984000000.0,,,,,
Total Revenue,6861,1059145000000.0,967288000000.0,922422000000.0,755174000000.0,,,,,
Operating Revenue,6861,1059145000000.0,967288000000.0,922422000000.0,755174000000.0,,,,,
Tax Effect Of Unusual Items,4503,243368000.0,3089436501.261564,53848000.0,5064906000.0,,,,,
Tax Rate For Calcs,4503,0.232,0.317354,0.254,0.209,,,,,
Normalized EBITDA,4503,246997000000.0,185079000000.0,246666000000.0,217285000000.0,,,,,
Total Unusual Items,4503,1049000000.0,9735000000.0,212000000.0,24234000000.0,,,,,
Total Unusual Items Excluding Goodwill,4503,1049000000.0,9735000000.0,212000000.0,24234000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Reconciled Depreciation,4503,199132000000.0,157840000000.0,105738000000.0,79684000000.0,,,,,
Reconciled Cost Of Revenue,4503,349206000000.0,292485000000.0,288353000000.0,253009000000.0,,,,,
EBITDA,4503,248046000000.0,194814000000.0,246878000000.0,241519000000.0,,,,,
EBIT,4503,48914000000.0,36974000000.0,141140000000.0,161835000000.0,,,,,
Net Interest Income,4503,-9803000000.0,-550000000.0,-669000000.0,1200000000.0,,,,,
Interest Expense,4503,17677000000.0,12005000000.0,8779000000.0,4949000000.0,,,,,
Interest Income,4503,7874000000.0,11455000000.0,8110000000.0,6149000000.0,,,,,
Normalized Income,4503,49941368000.0,10399436501.261564,98555848000.0,104916906000.0,,,,,
Net Income From Continuing And Discontinued Operation,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Total Expenses,4503,1872075000000.0,1584725000000.0,1387062000000.0,1165200000000.0,,,,,
Total Operating Income As Reported,4503,41039000000.0,25518000000.0,133029000000.0,155686000000.0,,,,,
Diluted Average Shares,4503,1796990085.0,1799894403.0,1825061000.0,1850602000.0,,,,,
Basic Average Shares,4503,1790017637.0,1792323870.0,1820019333.0,1849713000.0,,,,,
Diluted EPS,4503,28.24,9.47,54.09,67.05,,,,,
Basic EPS,4503,28.35,9.51,54.24,67.08,,,,,
Diluted NI Availto Com Stockholders,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Net Income Common Stockholders,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Otherunder Preferred Stock Dividend,4503,0.0,0.0,0.0,0.0,,,,,
Net Income,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Net Income Including Noncontrolling Interests,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Net Income Continuous Operations,4503,50747000000.0,17045000000.0,98714000000.0,124086000000.0,,,,,
Tax Provision,4503,-19510000000.0,7924000000.0,33647000000.0,32800000000.0,,,,,
Pretax Income,4503,31237000000.0,24969000000.0,132361000000.0,156886000000.0,,,,,
Special Income Charges,4503,1049000000.0,9735000000.0,212000000.0,24234000000.0,,,,,
Other Special Charges,4503,-1049000000.0,-9735000000.0,-212000000.0,-24234000000.0,,,,,
Net Non Operating Interest Income Expense,4503,-9803000000.0,-550000000.0,-669000000.0,1200000000.0,,,,,
Interest Expense Non Operating,4503,17677000000.0,12005000000.0,8779000000.0,4949000000.0,,,,,
Interest Income Non Operating,4503,7874000000.0,11455000000.0,8110000000.0,6149000000.0,,,,,
Operating Income,4503,40248000000.0,18947000000.0,131557000000.0,130963000000.0,,,,,
Operating Expense,4503,1522869000000.0,1292240000000.0,1098709000000.0,912191000000.0,,,,,
Other Operating Expenses,4503,235768000000.0,167814000000.0,157515000000.0,104314000000.0,,,,,
Depreciation And Amortization In Income Statement,4503,136762000000.0,98820000000.0,38436000000.0,28283000000.0,,,,,
Amortization,4503,136762000000.0,98820000000.0,38436000000.0,28283000000.0,,,,,
Depreciation Income Statement,4503,0.0,0.0,0.0,0.0,,,,,
Research And Development,4503,327651000000.0,294187000000.0,276128000000.0,246010000000.0,,,,,
Selling General And Administration,4503,843032000000.0,740110000000.0,630272000000.0,548840000000.0,,,,,
General And Administrative Expense,4503,843032000000.0,740110000000.0,630272000000.0,548840000000.0,,,,,
Gross Profit,4503,1563117000000.0,1311187000000.0,1230266000000.0,1043154000000.0,,,,,
Cost Of Revenue,4503,349206000000.0,292485000000.0,288353000000.0,253009000000.0,,,,,
Total Revenue,4503,1912323000000.0,1603672000000.0,1518619000000.0,1296163000000.0,,,,,
Operating Revenue,4503,1912323000000.0,1603672000000.0,1518619000000.0,1296163000000.0,,,,,
Tax Effect Of Unusual Items,6098,0.0,0.0,0.0,0.0,,,,,
Tax Rate For Calcs,6098,0.226,0.168,0.2612,0.222,,,,,
Normalized EBITDA,6098,647005000000.0,574581000000.0,494747000000.0,510244000000.0,,,,,
Net Income From Continuing Operation Net Minority Interest,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Reconciled Depreciation,6098,109237000000.0,117481000000.0,122044000000.0,123169000000.0,,,,,
Reconciled Cost Of Revenue,6098,1471834000000.0,1451961000000.0,1432643000000.0,1221684000000.0,,,,,
EBITDA,6098,647005000000.0,574581000000.0,494747000000.0,510244000000.0,,,,,
EBIT,6098,537768000000.0,457100000000.0,372703000000.0,387075000000.0,,,,,
Net Interest Income,6098,45412000000.0,25071000000.0,20449000000.0,-1530000000.0,,,,,
Interest Expense,6098,10625000000.0,30859000000.0,4936000000.0,4326000000.0,,,,,
Interest Income,6098,56037000000.0,55930000000.0,25385000000.0,2796000000.0,,,,,
Normalized Income,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Net Income From Continuing And Discontinued Operation,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Total Expenses,6098,3066935000000.0,3013964000000.0,3085214000000.0,2492775000000.0,,,,,
Total Operating Income As Reported,6098,490542000000.0,402526000000.0,344303000000.0,378929000000.0,,,,,
Diluted Average Shares,6098,1522450805.0,1586603858.0,1611280000.0,1641487000.0,,,,,
Basic Average Shares,6098,1504951370.0,1564909952.0,1600299487.0,1633830000.0,,,,,
Diluted EPS,6098,268.32,222.9,167.44,180.83,,,,,
Basic EPS,6098,271.44,225.99,168.59,181.68,,,,,
Diluted NI Availto Com Stockholders,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Net Income Common Stockholders,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Otherunder Preferred Stock Dividend,6098,0.0,0.0,0.0,0.0,,,,,
Net Income,6098,408504000000.0,353654000000.0,269799000000.0,296833000000.0,,,,,
Minority Interests,6098,344000000.0,-942000000.0,-1872000000.0,-889000000.0,,,,,
Net Income Including Noncontrolling Interests,6098,408159000000.0,354596000000.0,271671000000.0,297722000000.0,,,,,
Net Income Continuous Operations,6098,408159000000.0,354596000000.0,271671000000.0,297722000000.0,,,,,
Tax Provision,6098,118983000000.0,71645000000.0,96096000000.0,85026000000.0,,,,,
Pretax Income,6098,527143000000.0,426241000000.0,367767000000.0,382749000000.0,,,,,
Net Non Operating Interest Income Expense,6098,45412000000.0,25071000000.0,20449000000.0,-1530000000.0,,,,,
Interest Expense Non Operating,6098,10625000000.0,30859000000.0,4936000000.0,4326000000.0,,,,,
Interest Income Non Operating,6098,56037000000.0,55930000000.0,25385000000.0,2796000000.0,,,,,
Operating Income,6098,490543000000.0,402527000000.0,344304000000.0,378929000000.0,,,,,
Operating Expense,6098,1595101000000.0,1562003000000.0,1652571000000.0,1271091000000.0,,,,,
Other Operating Expenses,6098,39834000000.0,48036000000.0,53888000000.0,23043000000.0,,,,,
