日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20251231,2503,キリンホールディングス,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
20251231,250A,シマダヤ,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,2510,ＮＥＸＴ　ＦＵＮＤＳ　国内債券・ＮＯＭＵＲＡ－ＢＰＩ総合連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2511,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2512,ＮＥＸＴ　ＦＵＮＤＳ　外国債券・ＦＴＳＥ世界国債インデックス（除く日本・為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2513,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2514,ＮＥＸＴ　ＦＵＮＤＳ　外国株式・ＭＳＣＩ－ＫＯＫＵＳＡＩ指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2515,ＮＥＸＴ　ＦＵＮＤＳ　外国ＲＥＩＴ・Ｓ＆Ｐ先進国ＲＥＩＴ指数（除く日本・為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2516,東証グロース２５０ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2517,ＭＡＸＩＳ　Ｊリート・コア上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2518,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩ日本株女性活躍指数（セレクト）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2519,ＮＥＸＴ　ＦＵＮＤＳ　新興国債券・Ｊ．Ｐ．モルガン・エマージング・マーケット・ボンド・インデックス・プラス（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,251A,ニューロマジック,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2520,ＮＥＸＴ　ＦＵＮＤＳ　新興国株式・ＭＳＣＩエマージング・マーケット・インデックス（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2521,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）為替ヘッジあり,ETF・ETN,-,-,-,-,-,-
20251231,2522,ｉシェアーズ　オートメーション　＆　ロボット　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2523,ＭＡＸＩＳトピックス（除く金融）上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2524,ＮＺＡＭ　上場投信　ＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
20251231,2525,ＮＺＡＭ　上場投信　日経２２５,ETF・ETN,-,-,-,-,-,-
20251231,2526,ＮＺＡＭ　上場投信　ＪＰＸ日経４００,ETF・ETN,-,-,-,-,-,-
20251231,2527,ＮＺＡＭ　上場投信　東証ＲＥＩＴ　Ｃｏｒｅ指数,ETF・ETN,-,-,-,-,-,-
20251231,2528,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ　Ｃｏｒｅ指数,ETF・ETN,-,-,-,-,-,-
20251231,2529,ＮＥＸＴ　ＦＵＮＤＳ　野村株主還元７０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,252A,ウェッジ,PRO Market,6100,小売業,14,小売,-,-
20251231,2530,ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2531,宝ホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2533,オエノンホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,253A,ＥＴＳグループ,スタンダード（内国株式）,2050,建設業,3,建設・資材,-,-
20251231,2540,養命酒製造,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,254A,ＡＩフュージョンキャピタルグループ,スタンダード（内国株式）,7100,証券、商品先物取引業,16,金融（除く銀行）,-,-
20251231,2552,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,ETF・ETN,-,-,-,-,-,-
20251231,2553,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,ETF・ETN,-,-,-,-,-,-
20251231,2554,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2555,東証ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2556,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,ETF・ETN,-,-,-,-,-,-
20251231,2557,ＳＭＤＡＭ　トピックス上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2558,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2559,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信,ETF・ETN,-,-,-,-,-,-
20251231,255A,ジーエルテクノホールディングス,スタンダード（内国株式）,3750,精密機器,9,電機・精密,-,-
20251231,2560,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2561,ｉシェアーズ・コア　日本国債　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2562,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり,ETF・ETN,-,-,-,-,-,-
20251231,2563,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2564,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2565,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2566,上場インデックスファンド日経ＥＳＧリート,ETF・ETN,-,-,-,-,-,-
20251231,2567,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数,ETF・ETN,-,-,-,-,-,-
20251231,2568,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし,ETF・ETN,-,-,-,-,-,-
20251231,2569,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり,ETF・ETN,-,-,-,-,-,-
20251231,256A,飛島ホールディングス,プライム（内国株式）,2050,建設業,3,建設・資材,7,TOPIX Small 2
20251231,2573,北海道コカ・コーラボトリング,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2579,コカ・コーラ　ボトラーズジャパンホールディングス,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,257A,ＳＭＴ　ＥＴＦ日本株厳選投資アクティブ,ETF・ETN,-,-,-,-,-,-
20251231,2585,ライフドリンク　カンパニー,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20251231,2586,フルッタフルッタ,グロース（内国株式）,3050,食料品,1,食品,-,-
20251231,2587,サントリー食品インターナショナル,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2588,プレミアムウォーターホールディングス,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,258A,ＳＭＴ　ＥＴＦ国内リート厳選投資アクティブ,ETF・ETN,-,-,-,-,-,-
20251231,2590,ダイドーグループホールディングス,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20251231,2593,伊藤園,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,25935,伊藤園第１種優先株式,プライム（内国株式）,3050,食料品,1,食品,-,-
20251231,2594,キーコーヒー,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,2597,ユニカフェ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2602,日清オイリオグループ,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20251231,2607,不二製油,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2612,かどや製油,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2613,Ｊ－オイルミルズ,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,261A,日水コン,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2620,ｉシェアーズ　米国債１－３年　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2621,ｉシェアーズ　米国債２０年超　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2622,ｉシェアーズ　米ドル建て新興国債券　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2623,ｉシェアーズ　ユーロ建て投資適格社債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2624,ｉＦｒｅｅＥＴＦ　日経２２５（年４回決算型）,ETF・ETN,-,-,-,-,-,-
20251231,2625,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年４回決算型）,ETF・ETN,-,-,-,-,-,-
20251231,2626,グローバルＸ　デジタル・イノベーション－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2627,グローバルＸ　ｅコマース－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2628,ｉＦｒｅｅＥＴＦ　中国科創板５０（ＳＴＡＲ５０）,ETF・ETN,-,-,-,-,-,-
20251231,2629,ｉＦｒｅｅＥＴＦ　中国グレーターベイエリア・イノベーション１００（ＧＢＡ１００）,ETF・ETN,-,-,-,-,-,-
20251231,262A,インターメスティック,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2630,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2631,ＭＡＸＩＳナスダック１００上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2632,ＭＡＸＩＳナスダック１００上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2633,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2634,ＮＥＸＴ　ＦＵＮＤＳ　Ｓ＆Ｐ　５００　指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2636,グローバルＸ　ＭＳＣＩ　ガバナンス・クオリティ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2637,グローバルＸ　クリーンテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2638,グローバルＸ　ロボティクス＆ＡＩ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2639,グローバルＸ　バイオ＆メドテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,263A,デジタルキューブ,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251231,2640,グローバルＸ　ゲーム＆アニメ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2641,グローバルＸ　グローバルリーダーズ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2642,ＳＭＴ　ＥＴＦカーボン・エフィシェント日本株,ETF・ETN,-,-,-,-,-,-
20251231,2643,ＮＥＸＴ　ＦＵＮＤＳ　ＭＳＣＩジャパンカントリー指数（セレクト）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2644,グローバルＸ　半導体関連－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2645,グローバルＸ　レジャー＆エンターテインメント－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2646,グローバルＸ　メタルビジネス－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2647,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジなし）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2648,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2649,ｉシェアーズ　米国政府系機関ジニーメイＭＢＳ　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,264A,Ｓｃｈｏｏ,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2652,まんだらけ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2653,イオン九州,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2654,アスモ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2656,ベクターホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2659,サンエー,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,265A,Ｈｍｃｏｍｍ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251231,2664,カワチ薬品,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2666,オートウェーブ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2667,イメージ　ワン,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2668,タビオ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2669,カネ美食品,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,266A,グローカルマーケティング,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2670,エービーシー・マート,プライム（内国株式）,6100,小売業,14,小売,4,TOPIX Mid400
20251231,2673,夢みつけ隊,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2674,ハードオフコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2676,高千穂交易,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20251231,2678,アスクル,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,267A,トワライズ,PRO Market,7200,その他金融業,16,金融（除く銀行）,-,-
20251231,2681,ゲオホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2683,魚喜,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2685,アンドエスティＨＤ,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2686,ジーフット,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2687,シー・ヴイ・エス・ベイエリア,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2689,オルバヘルスケアホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,268A,リガク・ホールディングス,プライム（内国株式）,3750,精密機器,9,電機・精密,6,TOPIX Small 1
20251231,2692,伊藤忠食品,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20251231,2693,ＹＫＴ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2694,焼肉坂井ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2695,くら寿司,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2698,キャンドゥ,スタンダード（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,269A,Ｓａｐｅｅｔ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251231,2700,木徳神糧,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2702,日本マクドナルドホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2705,大戸屋ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2708,久世,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,271A,アクセリア,PRO Market,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251231,2721,ジェイホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2722,ＩＫホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2726,パルグループホールディングス,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2730,エディオン,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2733,あらた,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20251231,2734,サーラコーポレーション,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2735,ワッツ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2736,フェスタリアホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2737,トーメンデバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20251231,273A,ＳＢＩ　サウジアラビア株式上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2742,ハローズ,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2743,ピクセルカンパニーズ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2747,北雄ラッキー,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2749,ＪＰホールディングス,プライム（内国株式）,9050,サービス業,10,情報通信・サービスその他,6,TOPIX Small 1
20251231,274A,ガーデン,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2750,石光商事,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2751,テンポスホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2752,フジオフードグループ本社,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2753,あみやき亭,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2760,東京エレクトロン　デバイス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20251231,2762,ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2763,エフティグループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2764,ひらまつ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2767,円谷フィールズホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20251231,2768,双日,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20251231,2769,ヴィレッジヴァンガードコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,276A,ククレブ・アドバイザーズ,グロース（内国株式）,8050,不動産業,17,不動産,-,-
20251231,2776,新都ホールディングス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2778,パレモ・ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,277A,グロービング,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2780,コメ兵ホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2782,セリア,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2784,アルフレッサ　ホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,4,TOPIX Mid400
20251231,2788,アップルインターナショナル,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2789,カルラ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,グロース（内国株式）,3750,精密機器,9,電機・精密,-,-
20251231,2790,ナフコ,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2791,大黒天物産,プライム（内国株式）,6100,小売業,14,小売,6,TOPIX Small 1
20251231,2792,ハニーズホールディングス,プライム（内国株式）,6100,小売業,14,小売,7,TOPIX Small 2
20251231,2795,日本プリメックス,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2796,ファーマライズホールディングス,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,2798,ワイズテーブルコーポレーション,スタンダード（内国株式）,6100,小売業,14,小売,-,-
20251231,279A,インターグ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2801,キッコーマン,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2802,味の素,プライム（内国株式）,3050,食料品,1,食品,2,TOPIX Large70
20251231,2804,ブルドックソース,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,2805,ヱスビー食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2806,ユタカフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2809,キユーピー,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,280A,ＴＭＨ,グロース（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2810,ハウス食品グループ本社,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2811,カゴメ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2813,和弘食品,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2814,佐藤食品工業,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2815,アリアケジャパン,プライム（内国株式）,3050,食料品,1,食品,6,TOPIX Small 1
20251231,2816,ダイショー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2818,ピエトロ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2819,エバラ食品工業,スタンダード（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
20251231,281A,インフォメティス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20251231,2820,やまみ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,282A,グローバルＸ　半導体・トップ１０－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2831,はごろもフーズ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2836,グローバルＸ　フィンテック－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2837,グローバルＸ　中小型リーダーズ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2838,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20251231,2839,ＭＡＸＩＳ米国国債７－１０年上場投信（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,283A,グローバルＸ　ＵＳ　テック・配当貴族　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2840,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20251231,2841,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2842,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００インバース,ETF・ETN,-,-,-,-,-,-
20251231,2843,上場インデックスファンド豪州国債（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2844,上場インデックスファンド豪州国債（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20251231,2845,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2846,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2847,グローバルＸ　新成長インフラ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2848,グローバルＸ　ＭＳＣＩ　気候変動対応－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2849,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　高配当　ＥＳＧ－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,284A,フクヤ建設,PRO Market,2050,建設業,3,建設・資材,-,-
20251231,2851,ｉシェアーズ　ＭＳＣＩ　ジャパンＳＲＩ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2852,ｉシェアーズ　グリーンＪリート　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2853,ｉシェアーズ　気候リスク調整世界国債　ＥＴＦ（除く日本・為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2854,グローバルＸ　テック・トップ２０－日本株式　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2855,グローバルＸ　グリーン・Ｊ－ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2856,ｉシェアーズ　米国債３－７年　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2857,ｉシェアーズ　ドイツ国債　ＥＴＦ（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2858,グローバルＸ　日経２２５　カバード・コール　ＥＴＦ（プレミアム再投資型）,ETF・ETN,-,-,-,-,-,-
20251231,2859,ＮＥＸＴ　ＦＵＮＤＳ　ユーロ・ストックス５０指数（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,285A,キオクシアホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密,4,TOPIX Mid400
20251231,2860,ＮＥＸＴ　ＦＵＮＤＳ　ドイツ株式・ＤＡＸ（為替ヘッジあり）連動型上場投信,ETF・ETN,-,-,-,-,-,-
20251231,2861,上場インデックスファンドフランス国債（為替ヘッジなし）,ETF・ETN,-,-,-,-,-,-
20251231,2862,上場インデックスファンドフランス国債（為替ヘッジあり）,ETF・ETN,-,-,-,-,-,-
20251231,2864,グローバルＸ　ロジスティクス・ＲＥＩＴ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2865,グローバルＸ　ＮＡＳＤＡＱ１００・カバード・コール　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2866,グローバルＸ　米国優先証券　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2867,グローバルＸ　自動運転＆ＥＶ　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2868,グローバルＸ　Ｓ＆Ｐ５００・カバード・コール　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20251231,2869,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００レバレッジ,ETF・ETN,-,-,-,-,-,-
20251231,286A,ユカリア,グロース（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20251231,2870,ｉＦｒｅｅＥＴＦ　ＮＡＳＤＡＱ１００ダブルインバース,ETF・ETN,-,-,-,-,-,-
20251231,2871,ニチレイ,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2872,セイヒョー,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2874,横浜冷凍,プライム（内国株式）,6050,卸売業,13,商社・卸売,6,TOPIX Small 1
20251231,2875,東洋水産,プライム（内国株式）,3050,食料品,1,食品,4,TOPIX Mid400
20251231,2876,デルソーレ,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,2877,日東ベスト,スタンダード（内国株式）,3050,食料品,1,食品,-,-
20251231,287A,黒田グループ,スタンダード（内国株式）,6050,卸売業,13,商社・卸売,-,-
20251231,2882,イートアンドホールディングス,プライム（内国株式）,3050,食料品,1,食品,7,TOPIX Small 2
