,ticker,2025-03-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2025-08-31 00:00:00,2024-08-31 00:00:00,2023-08-31 00:00:00,2022-08-31 00:00:00,2021-08-31 00:00:00
Depreciation,6758,,,,835233000000.0,390693000000.0,,,,,
Operating Gains Losses,6758,-57325000000.0,-105224000000.0,-17962000000.0,-19829000000.0,,,,,,
Pension And Employee Benefit Expense,6758,,,,,-42936000000.0,,,,,
Earnings Losses From Equity Investments,6758,20741000000.0,-715000000.0,-17696000000.0,-13934000000.0,,,,,,
Gain Loss On Investment Securities,6758,-75742000000.0,-73166000000.0,4469000000.0,60402000000.0,,,,,,
Gain Loss On Sale Of Business,6758,-18426000000.0,-26668000000.0,-4318000000.0,-74613000000.0,,,,,,
Net Income From Continuing Operations,6758,1473726000000.0,1268662000000.0,1274496000000.0,1117503000000.0,,,,,,
Free Cash Flow,9984,-650593000000.0,-372065000000.0,107527000000.0,1890377000000.0,,,,,,
Repurchase Of Capital Stock,9984,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,,,,,,
Repayment Of Debt,9984,-3809082000000.0,-5175486000000.0,-6294991000000.0,-8797688000000.0,,,,,,
Issuance Of Debt,9984,5313665000000.0,5181190000000.0,9176112000000.0,12880985000000.0,,,,,,
Capital Expenditure,9984,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,,,,,,
End Cash Position,9984,3713028000000.0,6186874000000.0,6925153000000.0,5169001000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,9984,33011000000.0,-33011000000.0,,,-1248000000.0,,,,,
Beginning Cash Position,9984,6186874000000.0,6925153000000.0,5169001000000.0,4662725000000.0,,,,,,
Effect Of Exchange Rate Changes,9984,37487000000.0,491868000000.0,275765000000.0,197264000000.0,,,,,,
Changes In Cash,9984,-2544344000000.0,-1197136000000.0,1480387000000.0,309012000000.0,,,,,,
Financing Cash Flow,9984,-1116384000000.0,-606222000000.0,191517000000.0,602216000000.0,,,,,,
Net Other Financing Charges,9984,-1343047000000.0,-250286000000.0,-935681000000.0,-989161000000.0,,,,,,
Cash Dividends Paid,9984,-64020000000.0,-64356000000.0,-70241000000.0,-75847000000.0,,,,,,
Net Common Stock Issuance,9984,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,,,,,,
Common Stock Payments,9984,-237058000000.0,-8000000.0,-1055436000000.0,-602361000000.0,,,,,,
Net Issuance Payments Of Debt,9984,1082860000000.0,207778000000.0,2807750000000.0,2909510000000.0,,,,,,
Net Short Term Debt Issuance,9984,-421723000000.0,202074000000.0,-73371000000.0,-1173787000000.0,,,,,,
Short Term Debt Issuance,9984,,,,,1575327000000.0,,,,,
Net Long Term Debt Issuance,9984,1504583000000.0,5704000000.0,2881121000000.0,4083297000000.0,,,,,,
Long Term Debt Payments,9984,-3809082000000.0,-5175486000000.0,-6294991000000.0,-8797688000000.0,,,,,,
Long Term Debt Issuance,9984,5313665000000.0,5181190000000.0,9176112000000.0,12880985000000.0,,,,,,
Investing Cash Flow,9984,-1631540000000.0,-841461000000.0,547578000000.0,-3018654000000.0,,,,,,
Net Other Investing Changes,9984,-223438000000.0,13947000000.0,437001000000.0,-59396000000.0,,,,,,
Net Investment Purchase And Sale,9984,-731637000000.0,-123346000000.0,658256000000.0,-2232485000000.0,,,,,,
Sale Of Investment,9984,1805962000000.0,1219642000000.0,1605565000000.0,3256978000000.0,,,,,,
Purchase Of Investment,9984,-2537599000000.0,-1342988000000.0,-947309000000.0,-5489463000000.0,,,,,,
Net Business Purchase And Sale,9984,94862000000.0,96755000000.0,6998000000.0,143079000000.0,,,,,,
Sale Of Business,9984,94862000000.0,96755000000.0,6998000000.0,143079000000.0,,,,,,
Purchase Of Business,9984,,,,,-13824000000.0,,,,,
Net PPE Purchase And Sale,9984,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,,,,,,
Purchase Of PPE,9984,-854173000000.0,-622612000000.0,-633765000000.0,-835073000000.0,,,,,,
Operating Cash Flow,9984,203580000000.0,250547000000.0,741292000000.0,2725450000000.0,,,,,,
Taxes Refund Paid,9984,-215161000000.0,-816778000000.0,-525891000000.0,-589336000000.0,,,,,,
Interest Received Cfo,9984,299714000000.0,256083000000.0,111740000000.0,37260000000.0,,,,,,
Interest Paid Cfo,9984,-482111000000.0,-430422000000.0,-418163000000.0,-381770000000.0,,,,,,
Change In Working Capital,9984,-589188000000.0,13807000000.0,-1015767000000.0,1080442000000.0,,,,,,
Change In Other Current Liabilities,9984,491898000000.0,390137000000.0,-1127949000000.0,-970559000000.0,,,,,,
Change In Other Current Assets,9984,-769572000000.0,-230986000000.0,208700000000.0,2173735000000.0,,,,,,
Change In Payable,9984,237030000000.0,325731000000.0,439566000000.0,295202000000.0,,,,,,
Change In Inventory,9984,-40000000000.0,5436000000.0,-18929000000.0,-11623000000.0,,,,,,
Change In Receivables,9984,-508544000000.0,-476511000000.0,-517155000000.0,-406313000000.0,,,,,,
Other Non Cash Items,9984,675533000000.0,764597000000.0,569054000000.0,557871000000.0,,,,,,
Deferred Tax,9984,101613000000.0,-151416000000.0,320674000000.0,592637000000.0,,,,,,
Depreciation And Amortization,9984,866823000000.0,858620000000.0,893488000000.0,852424000000.0,,,,,,
Depreciation,9984,866823000000.0,858620000000.0,893488000000.0,852424000000.0,,,,,,
Gain Loss On Investment Securities,9984,-2029696000000.0,-1156283000000.0,727011000000.0,1673395000000.0,,,,,,
Net Foreign Currency Exchange Gain Loss,9984,-27055000000.0,703122000000.0,772270000000.0,706111000000.0,,,,,,
Net Income From Continuing Operations,9984,1603108000000.0,209217000000.0,-789801000000.0,-1462199000000.0,,,,,,
Free Cash Flow,9434,621214000000.0,685615000000.0,546528000000.0,506826000000.0,,,,,,
Repurchase Of Capital Stock,9434,0.0,-100000000000.0,0.0,0.0,,,,,,
Repayment Of Debt,9434,-1872502000000.0,-2064536000000.0,-2223935000000.0,-1905637000000.0,,,,,,
Issuance Of Debt,9434,1649994000000.0,1905910000000.0,2087121000000.0,2075450000000.0,,,,,,
Issuance Of Capital Stock,9434,221055000000.0,136233000000.0,0.0,,,,,,,
Capital Expenditure,9434,-746657000000.0,-554074000000.0,-609222000000.0,-709092000000.0,,,,,,
End Cash Position,9434,1435525000000.0,1992873000000.0,2059167000000.0,1546792000000.0,,,,,,
Beginning Cash Position,9434,1992873000000.0,2059167000000.0,1546792000000.0,1584892000000.0,,,,,,
Effect Of Exchange Rate Changes,9434,-6618000000.0,11733000000.0,6658000000.0,8747000000.0,,,,,,
Changes In Cash,9434,-550730000000.0,-78027000000.0,505717000000.0,-46847000000.0,,,,,,
Other Cash Adjustment Inside Changein Cash,9434,33011000000.0,-33011000000.0,0.0,,,,,,,
Financing Cash Flow,9434,-956429000000.0,-357098000000.0,-495260000000.0,-305072000000.0,,,,,,
Net Other Financing Charges,9434,-4028000000.0,36416000000.0,39775000000.0,9836000000.0,,,,,,
Cash Dividends Paid,9434,-408836000000.0,-406752000000.0,-405559000000.0,-403609000000.0,,,,,,
Common Stock Dividend Paid,9434,-408836000000.0,-406752000000.0,-405559000000.0,-403609000000.0,,,,,,
Net Common Stock Issuance,9434,221055000000.0,36233000000.0,0.0,0.0,,,,,,
Common Stock Payments,9434,0.0,-100000000000.0,0.0,0.0,,,,,,
Common Stock Issuance,9434,221055000000.0,136233000000.0,0.0,,,,,,,
Net Issuance Payments Of Debt,9434,-639711000000.0,22702000000.0,-82264000000.0,152899000000.0,,,,,,
Net Short Term Debt Issuance,9434,-417203000000.0,181328000000.0,54550000000.0,-16914000000.0,,,,,,
Net Long Term Debt Issuance,9434,-222508000000.0,-158626000000.0,-136814000000.0,169813000000.0,,,,,,
Long Term Debt Payments,9434,-1872502000000.0,-2064536000000.0,-2223935000000.0,-1905637000000.0,,,,,,
Long Term Debt Issuance,9434,1649994000000.0,1905910000000.0,2087121000000.0,2075450000000.0,,,,,,
Investing Cash Flow,9434,-995183000000.0,-927607000000.0,-154773000000.0,-957693000000.0,,,,,,
Net Other Investing Changes,9434,18766000000.0,-28064000000.0,75097000000.0,-16668000000.0,,,,,,
Net Investment Purchase And Sale,9434,-248158000000.0,-272889000000.0,-4779000000.0,-232676000000.0,,,,,,
Sale Of Investment,9434,183109000000.0,151187000000.0,226337000000.0,273046000000.0,,,,,,
Purchase Of Investment,9434,-431267000000.0,-424076000000.0,-231116000000.0,-505722000000.0,,,,,,
Net Business Purchase And Sale,9434,-22259000000.0,-74418000000.0,382455000000.0,-1298000000.0,,,,,,
Sale Of Business,9434,,,382455000000.0,,,,,,,
Purchase Of Business,9434,-22259000000.0,-74418000000.0,,-1298000000.0,,,,,,
Net PPE Purchase And Sale,9434,-743532000000.0,-552236000000.0,-607546000000.0,-707051000000.0,,,,,,
Sale Of PPE,9434,3125000000.0,1838000000.0,1676000000.0,2041000000.0,,,,,,
Purchase Of PPE,9434,-746657000000.0,-554074000000.0,-609222000000.0,-709092000000.0,,,,,,
Capital Expenditure Reported,9434,,,,,-479522000000.0,,,,,
Operating Cash Flow,9434,1367871000000.0,1239689000000.0,1155750000000.0,1215918000000.0,,,,,,
Taxes Refund Paid,9434,-187605000000.0,-281182000000.0,-265662000000.0,-357488000000.0,,,,,,
Interest Received Cfo,9434,11789000000.0,6543000000.0,7253000000.0,7105000000.0,,,,,,
Interest Paid Cfo,9434,-78451000000.0,-62922000000.0,-61362000000.0,-63394000000.0,,,,,,
Change In Working Capital,9434,-117149000000.0,5864000000.0,-29911000000.0,18244000000.0,,,,,,
Change In Other Current Liabilities,9434,,,,-86768000000.0,-142751000000.0,,,,,
Change In Other Current Assets,9434,-194654000000.0,-135185000000.0,-229913000000.0,-86768000000.0,,,,,,
Change In Payable,9434,285177000000.0,292551000000.0,280885000000.0,50197000000.0,,,,,,
Change In Prepaid Assets,9434,152810000000.0,170895000000.0,66055000000.0,240628000000.0,,,,,,
Change In Inventory,9434,-39375000000.0,2744000000.0,-21331000000.0,-16537000000.0,,,,,,
Change In Receivables,9434,-321107000000.0,-325141000000.0,-125607000000.0,-169276000000.0,,,,,,
Other Non Cash Items,9434,178612000000.0,34131000000.0,123972000000.0,-30094000000.0,,,,,,
Deferred Tax,9434,224771000000.0,215647000000.0,208743000000.0,282578000000.0,,,,,,
Depreciation And Amortization,9434,748014000000.0,743808000000.0,764210000000.0,745310000000.0,,,,,,
Depreciation,9434,748014000000.0,743808000000.0,764210000000.0,745310000000.0,,,,,,
Gain Loss On Sale Of PPE,9434,21978000000.0,25321000000.0,30927000000.0,19179000000.0,,,,,,
Gain Loss On Sale Of Business,9434,-46908000000.0,-15511000000.0,-319848000000.0,-31814000000.0,,,,,,
Net Income From Continuing Operations,9434,655286000000.0,590265000000.0,654125000000.0,575433000000.0,,,,,,
Free Cash Flow,6861,395180000000.0,375424000000.0,263283000000.0,265314000000.0,,,,,,
Capital Expenditure,6861,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,,,,,,
End Cash Position,6861,451715000000.0,406065000000.0,344002000000.0,396165000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,6861,1000000.0,-1000000.0,-2000000.0,-2000000.0,,,,,,
Beginning Cash Position,6861,406065000000.0,344002000000.0,396165000000.0,189875000000.0,,,,,,
Effect Of Exchange Rate Changes,6861,169000000.0,-6754000000.0,-7636000000.0,-4233000000.0,,,,,,
Changes In Cash,6861,45480000000.0,68818000000.0,-44525000000.0,210525000000.0,,,,,,
Financing Cash Flow,6861,-83430000000.0,-76306000000.0,-63666000000.0,-49817000000.0,,,,,,
Net Other Financing Charges,6861,-4591000000.0,-3526000000.0,-3025000000.0,-1290000000.0,,,,,,
Cash Dividends Paid,6861,-78820000000.0,-72757000000.0,-60631000000.0,-48505000000.0,,,,,,
Net Common Stock Issuance,6861,-19000000.0,-23000000.0,-10000000.0,-22000000.0,,,,,,
Investing Cash Flow,6861,-280612000000.0,-242792000000.0,-283487000000.0,-11134000000.0,,,,,,
Net Other Investing Changes,6861,-17731000000.0,-19036000000.0,-14168000000.0,131518000000.0,,,,,,
Net Investment Purchase And Sale,6861,-248539000000.0,-211264000000.0,-229974000000.0,-136490000000.0,,,,,,
Net PPE Purchase And Sale,6861,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,,,,,,
Purchase Of PPE,6861,-14342000000.0,-12492000000.0,-39345000000.0,-6162000000.0,,,,,,
Operating Cash Flow,6861,409522000000.0,387916000000.0,302628000000.0,271476000000.0,,,,,,
Taxes Refund Paid,6861,-148699000000.0,-155798000000.0,-156884000000.0,-97210000000.0,,,,,,
Interest Received Cfo,6861,8472000000.0,5606000000.0,2490000000.0,1804000000.0,,,,,,
Change In Working Capital,6861,-16627000000.0,11831000000.0,-57707000000.0,-71249000000.0,,,,,,
Change In Payable,6861,1160000000.0,-4643000000.0,2358000000.0,5334000000.0,,,,,,
Change In Inventory,6861,-756000000.0,11280000000.0,-23961000000.0,-26257000000.0,,,,,,
Change In Receivables,6861,-18571000000.0,4709000000.0,-36742000000.0,-53099000000.0,,,,,,
Other Non Cash Items,6861,-4605000000.0,-951000000.0,-3859000000.0,3335000000.0,,,,,,
Depreciation And Amortization,6861,15193000000.0,13767000000.0,11523000000.0,8621000000.0,,,,,,
Depreciation,6861,15193000000.0,13767000000.0,11523000000.0,8621000000.0,,,,,,
Gain Loss On Investment Securities,6861,,,,,-838000000.0,,,,,
Net Foreign Currency Exchange Gain Loss,6861,88000000.0,-462000000.0,-140000000.0,-82000000.0,,,,,,
Net Income From Continuing Operations,6861,561010000000.0,519295000000.0,512830000000.0,431240000000.0,,,,,,
Free Cash Flow,4503,137182000000.0,89978000000.0,239226000000.0,180996000000.0,,,,,,
Repurchase Of Capital Stock,4503,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,,,,,,
Repayment Of Debt,4503,-52073000000.0,-25379000000.0,-50000000000.0,-30000000000.0,,,,,,
Issuance Of Debt,4503,200000000000.0,472275000000.0,50000000000.0,0.0,,,,,,
Capital Expenditure,4503,-57330000000.0,-82497000000.0,-88541000000.0,-76448000000.0,,,,,,
End Cash Position,4503,188372000000.0,335687000000.0,376840000000.0,315986000000.0,,,,,,
Other Cash Adjustment Outside Changein Cash,4503,-1000000.0,1000000.0,,,,,,,,
Beginning Cash Position,4503,335687000000.0,376840000000.0,315986000000.0,326128000000.0,,,,,,
Effect Of Exchange Rate Changes,4503,8960000000.0,18113000000.0,13210000000.0,11125000000.0,,,,,,
Changes In Cash,4503,-156274000000.0,-59267000000.0,47644000000.0,-21267000000.0,,,,,,
Financing Cash Flow,4503,-261367000000.0,614060000000.0,-195623000000.0,-216298000000.0,,,,,,
Net Other Financing Charges,4503,-23813000000.0,-16539000000.0,-3217000000.0,-2530000000.0,,,,,,
Cash Dividends Paid,4503,-128993000000.0,-116653000000.0,-100355000000.0,-85236000000.0,,,,,,
Common Stock Dividend Paid,4503,-128993000000.0,-116653000000.0,-100355000000.0,-85236000000.0,,,,,,
Net Common Stock Issuance,4503,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,,,,,,
Common Stock Payments,4503,-6960000000.0,-10735000000.0,-60556000000.0,-50717000000.0,,,,,,
Net Issuance Payments Of Debt,4503,-88522000000.0,771233000000.0,-15000000000.0,-60000000000.0,,,,,,
Net Short Term Debt Issuance,4503,-236449000000.0,324337000000.0,-15000000000.0,-30000000000.0,,,,,,
Net Long Term Debt Issuance,4503,147927000000.0,446896000000.0,0.0,-30000000000.0,,,,,,
Long Term Debt Payments,4503,-52073000000.0,-25379000000.0,-50000000000.0,-30000000000.0,,,,,,
Long Term Debt Issuance,4503,200000000000.0,472275000000.0,50000000000.0,0.0,,,,,,
Investing Cash Flow,4503,-89419000000.0,-845802000000.0,-84500000000.0,-62413000000.0,,,,,,
Net Other Investing Changes,4503,-53269000000.0,1816000000.0,-13353000000.0,-15868000000.0,,,,,,
Interest Received Cfi,4503,7101000000.0,8850000000.0,4558000000.0,716000000.0,,,,,,
