,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Sale Of PPE,707000000.0,1809000000.0,1801000000.0,7037000000.0,1031000000.0,
Purchase Of PPE,-99785000000.0,-120094000000.0,-111214000000.0,-145439000000.0,-186707000000.0,
Operating Cash Flow,394287000000.0,77329000000.0,697675000000.0,1007711000000.0,742574000000.0,
Cash From Discontinued Operating Activities,155877000000.0,-176552000000.0,,,317300000000.0,-273207000000.0
Cash Flow From Continuing Operating Activities,238410000000.0,253881000000.0,697675000000.0,1051804000000.0,425274000000.0,
Taxes Refund Paid,-36521000000.0,-53374000000.0,-91749000000.0,-81459000000.0,-29459000000.0,
Change In Working Capital,-294511000000.0,-343242000000.0,216495000000.0,298717000000.0,-242970000000.0,
Change In Other Working Capital,,,43561000000.0,736588000000.0,-182678000000.0,377292000000.0
Change In Other Current Liabilities,143398000000.0,-187582000000.0,-297084000000.0,459078000000.0,49859000000.0,
Change In Other Current Assets,-156775000000.0,-203443000000.0,170766000000.0,-1314390000000.0,-149994000000.0,
Change In Payables And Accrued Expense,224491000000.0,98398000000.0,-210295000000.0,-15749000000.0,239959000000.0,
Change In Payable,224491000000.0,98398000000.0,-210295000000.0,-15749000000.0,239959000000.0,
Change In Account Payable,238103000000.0,90138000000.0,-187337000000.0,-54914000000.0,252200000000.0,
Change In Tax Payable,-13612000000.0,8260000000.0,,39165000000.0,-12241000000.0,-3966000000.0
Change In Income Tax Payable,-13612000000.0,8260000000.0,,39165000000.0,-12241000000.0,-3966000000.0
Change In Inventory,-187741000000.0,-156435000000.0,52817000000.0,408049000000.0,-137110000000.0,
Change In Receivables,-317884000000.0,105820000000.0,456730000000.0,-169473000000.0,-245684000000.0,
Changes In Account Receivables,,105820000000.0,,,,187050000000.0
Other Non Cash Items,-148195000000.0,41900000000.0,71346000000.0,-63649000000.0,50403000000.0,
Depreciation Amortization Depletion,282180000000.0,274399000000.0,305141000000.0,312285000000.0,273887000000.0,
Depreciation And Amortization,282180000000.0,274399000000.0,305141000000.0,312285000000.0,273887000000.0,
Operating Gains Losses,-6304000000.0,-22403000000.0,-16117000000.0,-3864000000.0,-11098000000.0,
Earnings Losses From Equity Investments,2511000000.0,7689000000.0,4437000000.0,7874000000.0,3270000000.0,
Gain Loss On Investment Securities,-8815000000.0,-30092000000.0,-18230000000.0,-11738000000.0,-14368000000.0,
Net Income From Continuing Operations,441761000000.0,356601000000.0,212559000000.0,589774000000.0,384511000000.0,
